Frec max ch1,Frec max ch2,Frec max ch3,Frec max ch4,label
16.0,17.3,13.3,16.0,99.0
16.0,17.3,13.3,15.1,99.0
14.9,17.3,13.3,16.0,99.0
15.3,13.3,13.3,13.3,2.0
18.0,17.3,18.0,18.0,2.0
16.2,18.0,18.0,15.1,2.0
18.0,18.0,18.0,16.7,2.0
18.0,13.8,17.8,17.8,2.0
18.0,28.4,16.7,14.9,2.0
16.0,15.8,16.7,14.9,2.0
14.9,15.8,16.7,14.9,2.0
15.3,13.8,16.7,15.3,2.0
15.3,14.0,15.6,15.3,2.0
15.6,15.6,15.6,15.6,2.0
15.3,14.0,14.0,15.3,2.0
15.6,25.3,15.6,15.3,2.0
14.4,13.8,18.0,14.0,2.0
14.4,20.0,20.0,15.8,99.0
20.0,20.0,20.0,20.0,99.0
14.2,25.1,22.4,14.2,99.0
16.7,25.1,25.1,18.7,99.0
14.0,16.9,25.1,18.7,99.0
15.6,16.9,25.1,16.9,1.0
25.1,24.4,25.1,25.1,1.0
15.6,19.1,25.1,25.1,1.0
14.9,18.7,24.9,16.2,1.0
16.4,15.1,25.1,15.1,1.0
14.4,14.4,24.9,14.4,1.0
14.4,17.3,24.9,17.3,1.0
14.4,14.4,24.9,13.1,1.0
18.7,17.3,24.9,13.1,1.0
14.7,14.7,14.7,13.1,1.0
14.7,14.7,25.1,14.7,1.0
15.1,23.8,15.1,15.1,1.0
18.9,15.3,18.0,13.8,1.0
14.0,18.0,18.0,16.7,1.0
13.8,18.0,18.0,13.8,99.0
15.3,18.0,18.0,16.7,99.0
15.3,13.8,13.8,16.7,99.0
15.3,13.8,13.8,14.0,99.0
18.7,15.6,13.8,12.7,2.0
17.6,15.6,14.2,14.2,2.0
17.6,15.6,15.6,14.2,2.0
17.6,16.2,14.9,14.9,2.0
18.7,15.3,15.3,15.3,2.0
14.4,13.3,13.3,13.3,2.0
13.3,15.1,13.8,13.3,2.0
12.2,16.0,16.0,14.7,2.0
14.4,15.6,17.8,16.2,2.0
14.4,14.7,16.2,16.2,2.0
16.9,14.2,16.9,16.2,2.0
16.9,15.6,15.6,16.9,2.0
16.2,30.0,16.2,16.2,2.0
15.6,14.9,15.6,13.6,2.0
15.6,14.9,14.9,14.4,99.0
15.6,17.6,16.7,15.1,99.0
16.0,14.9,16.0,16.0,99.0
15.3,13.8,15.3,16.4,99.0
15.3,17.3,15.3,15.3,99.0
13.6,17.3,24.9,13.6,99.0
16.4,21.3,24.9,13.8,1.0
13.8,12.4,13.8,13.8,1.0
19.8,12.4,15.8,15.8,1.0
19.8,12.4,15.8,13.8,1.0
16.2,15.8,15.8,15.8,1.0
18.7,20.0,24.9,20.0,1.0
20.0,15.8,18.4,20.0,1.0
20.0,14.2,18.4,20.0,1.0
12.9,15.8,25.1,15.8,1.0
12.9,14.4,25.1,12.9,1.0
12.9,18.2,25.1,25.1,1.0
14.7,14.7,25.1,18.9,1.0
14.7,14.7,25.1,18.9,1.0
14.0,16.2,16.2,14.9,1.0
16.2,16.7,16.2,13.6,99.0
13.8,16.7,13.8,18.0,99.0
13.8,16.4,13.8,13.8,99.0
13.8,16.4,13.8,16.0,99.0
15.8,16.4,15.8,15.3,2.0
12.9,12.9,12.9,12.9,2.0
16.2,12.9,15.8,16.2,2.0
16.2,15.1,15.1,15.1,2.0
18.9,13.1,16.7,15.1,2.0
13.3,13.6,16.7,16.0,2.0
13.8,15.3,14.2,16.7,2.0
13.8,15.3,13.3,13.3,2.0
13.8,15.3,13.3,13.3,2.0
19.6,13.3,19.6,19.6,2.0
15.3,15.3,14.0,15.3,2.0
15.3,19.3,12.4,15.3,2.0
18.7,13.8,16.7,14.9,2.0
14.9,21.3,16.9,14.9,2.0
15.6,21.3,16.9,15.6,99.0
15.6,21.3,15.6,15.6,99.0
15.6,14.4,16.9,16.9,99.0
15.6,14.4,13.1,14.2,99.0
19.1,14.4,13.1,16.4,99.0
15.6,27.6,13.1,16.0,99.0
15.6,14.4,15.6,15.6,99.0
19.1,19.1,13.1,14.9,99.0
15.3,16.4,13.3,16.4,99.0
16.4,16.4,13.8,22.0,99.0
22.0,19.3,13.8,22.0,99.0
14.9,14.0,13.6,13.6,99.0
22.4,14.0,14.0,14.0,99.0
15.6,14.0,14.0,14.0,99.0
15.6,15.6,15.6,14.0,99.0
19.3,14.0,14.0,14.0,99.0
14.7,15.6,15.6,14.0,99.0
15.1,20.0,15.1,14.0,99.0
12.9,14.7,12.9,14.2,99.0
12.9,15.1,12.9,14.2,99.0
12.9,12.9,12.9,12.9,99.0
12.9,15.1,12.9,12.9,99.0
16.0,15.1,15.1,21.1,99.0
16.0,15.1,16.0,16.0,99.0
16.0,16.9,16.0,16.0,99.0
13.8,16.9,16.0,27.1,99.0
15.3,13.8,16.0,16.0,99.0
15.3,15.3,27.3,15.3,99.0
15.6,18.2,30.0,14.0,99.0
14.0,18.2,23.3,14.0,99.0
14.0,21.6,17.6,14.0,99.0
14.0,30.7,14.4,14.4,99.0
15.1,31.3,14.4,24.7,99.0
14.7,30.7,14.2,14.2,99.0
14.7,18.2,17.6,19.8,99.0
17.6,27.6,17.6,19.8,99.0
13.3,28.2,19.1,19.3,99.0
19.6,17.6,17.6,17.6,99.0
22.2,17.6,26.7,14.2,99.0
30.4,27.3,17.8,14.2,99.0
30.4,14.4,17.8,14.4,99.0
30.4,27.8,14.0,13.3,99.0
25.1,26.4,16.7,16.7,99.0
23.8,21.3,16.7,13.3,99.0
14.9,21.3,16.7,16.7,99.0
20.0,21.3,16.7,21.3,99.0
14.7,13.6,13.6,13.6,99.0
14.7,21.6,13.6,13.6,99.0
14.7,25.6,16.2,14.7,99.0
14.7,25.6,14.7,14.0,99.0
16.2,14.7,14.7,14.7,99.0
13.1,14.7,14.7,14.7,99.0
25.1,14.7,14.7,14.7,99.0
14.4,17.8,14.7,14.7,99.0
14.4,17.8,17.8,13.3,99.0
12.7,17.8,17.8,17.8,99.0
14.7,17.8,15.6,17.8,99.0
14.7,20.7,20.7,16.0,99.0
13.8,26.9,14.2,19.8,99.0
24.4,18.4,18.4,18.4,99.0
24.2,25.8,15.3,15.3,99.0
24.2,25.8,14.2,17.6,99.0
18.2,27.3,15.3,20.9,99.0
16.9,15.6,15.6,15.6,99.0
16.9,15.6,15.6,15.6,99.0
14.9,17.1,15.6,15.6,99.0
16.9,15.8,12.7,12.7,99.0
17.6,29.1,20.0,14.2,99.0
17.6,15.8,20.0,16.9,99.0
17.6,16.2,17.3,17.3,99.0
15.6,17.8,17.8,17.8,99.0
17.8,16.0,17.8,17.8,99.0
15.3,20.4,16.4,13.1,99.0
15.3,15.8,16.4,26.0,99.0
15.3,20.2,15.3,20.0,99.0
15.3,14.2,15.3,15.3,99.0
15.3,20.0,14.7,18.9,99.0
12.9,20.0,15.3,22.7,99.0
14.2,20.4,15.6,15.6,99.0
14.9,17.8,17.8,16.9,99.0
14.9,31.1,14.7,16.9,99.0
14.9,23.3,16.4,16.4,99.0
