12.5ch1,16.5ch1,25.0ch1,33.0ch1,12.5ch2,16.5ch2,25.0ch2,33.0ch2,12.5ch3,16.5ch3,25.0ch3,33.0ch3,12.5ch4,16.5ch4,25.0ch4,33.0ch4,label
275.15,287.4,222.6,211.9,246.85,225.70000000000002,310.35,185.6,323.3,164.2,202.75,104.4,221.70000000000002,176.4,208.85,130.1,99.0
188.75,243.89999999999998,111.14999999999999,143.35,159.55,209.89999999999998,297.5,193.0,309.7,139.95,182.05,75.4,229.35,210.7,144.3,79.3,99.0
169.7,276.55,114.35,120.5,175.95,250.25,240.0,253.1,188.9,162.8,144.60000000000002,73.0,127.95,193.55,115.1,87.44999999999999,99.0
269.95,238.55,150.1,112.25,97.45,173.85,224.1,178.55,218.14999999999998,140.85,157.5,82.9,285.35,165.7,134.6,88.19999999999999,99.0
357.0,396.65,213.8,182.95,270.65,286.4,248.9,292.5,286.45000000000005,324.6,134.15,162.8,276.95,355.05,213.95,156.4,99.0
274.65,335.85,118.35,141.75,202.5,224.8,200.7,74.8,214.45,226.3,71.05,63.4,200.0,278.15,144.95,90.35,99.0
320.5,314.7,161.5,149.2,290.05,243.39999999999998,225.3,131.3,239.25,266.25,102.85,88.35,237.25,351.70000000000005,180.15,122.35000000000001,99.0
427.0,418.54999999999995,118.0,155.2,420.54999999999995,367.8,182.65,76.60000000000001,332.15,326.25,94.85,85.05,424.5,414.35,107.6,116.2,99.0
282.7,321.2,89.6,46.8,318.5,351.05,116.60000000000001,307.05,262.5,250.60000000000002,119.0,107.69999999999999,288.6,278.95,121.5,54.95,99.0
211.5,230.1,125.0,110.4,198.05,432.25,86.0,244.55,218.8,217.45,140.8,178.8,213.45,281.4,151.5,120.4,99.0
151.05,293.2,131.7,180.5,215.35000000000002,348.35,73.94999999999999,286.55,262.35,310.0,150.6,176.55,215.5,366.4,165.6,157.14999999999998,99.0
106.85000000000001,286.45,132.85000000000002,96.65,192.15,281.0,87.65,241.10000000000002,92.8,288.65,164.1,142.15,115.05,305.0,168.65,109.95,99.0
146.6,288.70000000000005,86.45,130.3,170.45,172.8,123.1,220.14999999999998,122.6,304.9,204.0,157.15,148.0,302.04999999999995,157.1,126.75,99.0
182.4,305.04999999999995,182.5,66.25,289.4,170.2,229.55,292.75,159.2,268.75,149.5,108.35,276.0,255.95,66.5,110.4,99.0
197.85,359.05,375.29999999999995,138.45,372.0,59.55,149.25,210.7,288.8,301.7,203.85,140.45,407.1,325.1,244.1,161.55,99.0
356.65,581.8499999999999,494.45,322.05,431.5,187.2,310.0,325.95,248.25,285.5,399.15,245.35000000000002,403.15000000000003,271.85,462.85,270.85,99.0
891.7,666.85,455.5,234.25,755.3,707.0999999999999,318.2,392.8,884.8,693.15,359.15,200.10000000000002,782.5,777.45,467.4,270.9,99.0
1054.3,829.0,541.3,263.3,752.6,460.35,392.35,454.1,788.8,486.85,330.0,198.8,1367.4,765.1,610.35,256.75,99.0
1039.35,757.8,618.15,519.5,1162.75,549.35,400.45,636.6,738.1,406.25,391.35,431.04999999999995,1206.65,705.4,802.8,394.5,99.0
1051.3,791.6500000000001,681.9,504.85,993.4000000000001,644.0,489.29999999999995,664.9,648.4,489.0,473.85,407.6,1259.25,680.65,888.0,350.65,99.0
967.85,956.6,681.05,393.8,918.35,546.8000000000001,462.05,706.8,633.85,608.2,388.45,356.75,1300.8,815.0,901.2,332.9,99.0
